id,date,homeTeam,awayTeam,homeScore,awayScore
4192749,2023-07-21,Warta Poznan,Pogon Szczecin,0,1
4192705,2023-07-21,Legia Warszawa,LKS Lodz,3,0
4192708,2023-07-22,Stal Mielec,Cracovia,2,2
4192707,2023-07-22,Rakow Czestochowa,Jagiellonia Bialystok,3,0
4192706,2023-07-22,Piast Gliwice,Lech Poznan,1,2
4192702,2023-07-23,Gornik Zabrze,Radomiak Radom,0,2
4192703,2023-07-23,Zaglebie Lubin,Ruch Chorzow,2,1
4192738,2023-07-23,Widzew Lodz,Puszcza Niepolomice,3,2
4192704,2023-07-24,Korona Kielce,Slask Wroclaw,1,1
4192732,2023-07-28,Ruch Chorzow,LKS Lodz,2,0
4192739,2023-07-29,Warta Poznan,Gornik Zabrze,2,0
4192736,2023-07-29,Jagiellonia Bialystok,Puszcza Niepolomice,4,1
4192740,2023-07-29,Slask Wroclaw,Zaglebie Lubin,1,2
4192731,2023-07-30,Stal Mielec,Piast Gliwice,0,0
4192734,2023-07-30,Lech Poznan,Radomiak Radom,2,0
4192733,2023-07-30,Pogon Szczecin,Widzew Lodz,2,1
4192747,2023-08-04,Jagiellonia Bialystok,Widzew Lodz,2,1
4192741,2023-08-04,LKS Lodz,Korona Kielce,2,1
4192742,2023-08-05,Rakow Czestochowa,Warta Poznan,2,2
4192748,2023-08-05,Gornik Zabrze,Piast Gliwice,0,0
4192743,2023-08-05,Radomiak Radom,Cracovia,0,1
4192746,2023-08-06,Zaglebie Lubin,Lech Poznan,1,1
4192745,2023-08-06,Legia Warszawa,Ruch Chorzow,3,0
4192744,2023-08-07,Puszcza Niepolomice,Stal Mielec,1,0
4192729,2023-08-11,Cracovia,Zaglebie Lubin,2,1
4192716,2023-08-11,Piast Gliwice,Rakow Czestochowa,2,1
4192713,2023-08-12,Stal Mielec,Slask Wroclaw,3,1
4192728,2023-08-12,Korona Kielce,Gornik Zabrze,0,1
4192711,2023-08-12,Widzew Lodz,LKS Lodz,1,0
4192715,2023-08-13,Pogon Szczecin,Radomiak Radom,0,2
4192714,2023-08-13,Puszcza Niepolomice,Legia Warszawa,1,1
4192712,2023-08-14,Warta Poznan,Ruch Chorzow,2,2
4192719,2023-08-18,Zaglebie Lubin,Puszcza Niepolomice,1,0
4192718,2023-08-18,Gornik Zabrze,Widzew Lodz,1,1
4192726,2023-08-19,Radomiak Radom,Warta Poznan,3,2
4192725,2023-08-19,Rakow Czestochowa,Stal Mielec,2,0
4192724,2023-08-19,Ruch Chorzow,Jagiellonia Bialystok,0,1
4192723,2023-08-20,LKS Lodz,Pogon Szczecin,1,0
4192722,2023-08-20,Slask Wroclaw,Lech Poznan,3,1
4192727,2023-08-20,Legia Warszawa,Korona Kielce,1,0
4192710,2023-08-21,Cracovia,Piast Gliwice,1,1
4192781,2023-08-25,Stal Mielec,Radomiak Radom,2,0
4192779,2023-08-25,Widzew Lodz,Slask Wroclaw,0,2
4192780,2023-08-26,Warta Poznan,Cracovia,0,0
4192782,2023-08-26,Puszcza Niepolomice,LKS Lodz,2,1
4192796,2023-08-26,Piast Gliwice,Ruch Chorzow,0,0
4192720,2023-08-27,Korona Kielce,Zaglebie Lubin,2,0
4192721,2023-08-27,Jagiellonia Bialystok,Gornik Zabrze,4,1
4192730,2023-08-30,Pogon Szczecin,Slask Wroclaw,0,2
4192795,2023-09-01,LKS Lodz,Warta Poznan,0,2
4192786,2023-09-01,Ruch Chorzow,Stal Mielec,1,1
4192784,2023-09-02,Radomiak Radom,Piast Gliwice,1,1
4192778,2023-09-02,Cracovia,Korona Kielce,0,0
4192776,2023-09-02,Lech Poznan,Gornik Zabrze,1,1
4192794,2023-09-03,Slask Wroclaw,Jagiellonia Bialystok,2,1
4192777,2023-09-03,Zaglebie Lubin,Pogon Szczecin,1,0
4192775,2023-09-03,Legia Warszawa,Widzew Lodz,3,1
4192785,2023-09-03,Rakow Czestochowa,Puszcza Niepolomice,2,0
4192789,2023-09-15,Puszcza Niepolomice,Slask Wroclaw,1,3
4192793,2023-09-15,Gornik Zabrze,Ruch Chorzow,1,0
4192790,2023-09-16,Pogon Szczecin,Korona Kielce,3,1
4192788,2023-09-16,Rakow Czestochowa,LKS Lodz,1,0
4192791,2023-09-16,Piast Gliwice,Legia Warszawa,1,1
4192792,2023-09-17,Jagiellonia Bialystok,Radomiak Radom,3,2
4192773,2023-09-17,Widzew Lodz,Cracovia,2,0
4192774,2023-09-17,Warta Poznan,Lech Poznan,0,2
4192787,2023-09-18,Stal Mielec,Zaglebie Lubin,4,2
4192758,2023-09-22,Korona Kielce,Widzew Lodz,1,1
4192753,2023-09-22,LKS Lodz,Jagiellonia Bialystok,2,2
4192755,2023-09-23,Radomiak Radom,Puszcza Niepolomice,1,1
4192752,2023-09-23,Slask Wroclaw,Piast Gliwice,1,0
4192772,2023-09-23,Cracovia,Pogon Szczecin,1,5
4192757,2023-09-23,Lech Poznan,Stal Mielec,2,1
4192759,2023-09-24,Zaglebie Lubin,Warta Poznan,1,0
4192754,2023-09-24,Ruch Chorzow,Rakow Czestochowa,3,5
4192756,2023-09-24,Legia Warszawa,Gornik Zabrze,2,1
4192783,2023-09-27,Pogon Szczecin,Legia Warszawa,3,4
4192709,2023-09-28,Lech Poznan,Rakow Czestochowa,4,1
4192769,2023-09-29,Stal Mielec,Korona Kielce,2,3
4192761,2023-09-29,Piast Gliwice,Widzew Lodz,3,2
4192767,2023-09-30,LKS Lodz,Cracovia,0,2
4192771,2023-09-30,Puszcza Niepolomice,Ruch Chorzow,2,2
4192768,2023-09-30,Warta Poznan,Slask Wroclaw,0,1
4192770,2023-10-01,Rakow Czestochowa,Radomiak Radom,3,0
4192762,2023-10-01,Pogon Szczecin,Lech Poznan,5,0
4192760,2023-10-01,Jagiellonia Bialystok,Legia Warszawa,2,0
4192751,2023-10-02,Gornik Zabrze,Zaglebie Lubin,0,2
4192764,2023-10-06,Korona Kielce,Warta Poznan,1,1
4192763,2023-10-06,Lech Poznan,Puszcza Niepolomice,4,1
4192797,2023-10-07,Radomiak Radom,LKS Lodz,3,0
4192827,2023-10-07,Widzew Lodz,Stal Mielec,1,0
4192765,2023-10-07,Zaglebie Lubin,Piast Gliwice,1,1
4192838,2023-10-07,Ruch Chorzow,Pogon Szczecin,0,3
4192826,2023-10-08,Slask Wroclaw,Gornik Zabrze,1,1
4192766,2023-10-08,Cracovia,Jagiellonia Bialystok,2,4
4192750,2023-10-08,Legia Warszawa,Rakow Czestochowa,1,2
4192822,2023-10-20,Piast Gliwice,Pogon Szczecin,0,0
4192824,2023-10-20,Jagiellonia Bialystok,Zaglebie Lubin,3,0
4192821,2023-10-21,Puszcza Niepolomice,Cracovia,1,1
4192837,2023-10-21,Slask Wroclaw,Legia Warszawa,4,0
4192823,2023-10-21,Lech Poznan,LKS Lodz,3,1
4192820,2023-10-22,Radomiak Radom,Korona Kielce,1,1
4192825,2023-10-22,Gornik Zabrze,Rakow Czestochowa,2,1
4192828,2023-10-23,Stal Mielec,Warta Poznan,0,1
4192717,2023-10-24,Lech Poznan,Jagiellonia Bialystok,3,3
4192834,2023-10-27,Korona Kielce,Puszcza Niepolomice,5,3
4192818,2023-10-27,LKS Lodz,Gornik Zabrze,0,5
4192819,2023-10-28,Warta Poznan,Piast Gliwice,1,1
4192832,2023-10-28,Pogon Szczecin,Jagiellonia Bialystok,2,1
